Names
सुनिता केसी
शोभा श्रेष्ठ
गीता भट्टराई
मनीषा शर्मा
सुमित्रा देवकोटा
कोमल रिग्मी
रिता राय
अस्मिता प्रधान
मनीषा अर्याल
गीता श्रेष्ठ
माया प्रधान
लिला खटिवाडा
गीता तामाङ
दीपिका खटिवाडा
कोमल घिमिरे
शोभा पाण्डे
प्रतीमा थापा
दीपिका भण्डारी
सुनिता पन्ता
रूपा रिजाल
बिमला दाहाल
स्नेहा आचार्य
सुश्मिता बिस्टा
मनीषा पाण्डे
माया पोखरेल
सुश्मिता श्रेष्ठ
शोभा मगर
सिता प्रधान
सन्तोषी बज्राचार्य
बिमला धमला
सुमित्रा घिमिरे
सरिता आचार्य
मिना 
कविता थापा
कोमल प्रधान
माया बस्नेत
लिला आचार्य
कविता शर्मा
स्नेहा धमला
कल्पना अर्याल
रन्जु अधिकारी
सुश्मिता पाण्डे
मिना न्युपाने
लिला पोखरेल
सुशिला मगर
सुमित्रा पाण्डे
रेखा भट्टराई
निशा तिमिल्सिना
सरिता पन्ता
माया घिमिरे
प्रतीमा मगर
लिला बिस्टा
प्रभा पौड्याल
माया अधिकारी
आशा शर्मा
शोभा केसी
रेखा पाण्डे
रन्जु सुबेदी
रिता न्युपाने
अस्मिता कार्की
स्नेहा रिग्मी
सिता भण्डारी
प्रभा बस्नेत
अनिता भण्डारी
मनीषा धमला
दीपिका कार्की
सविना बिस्टा
आशा 
सञ्जिता प्रधान
अनिता घिमिरे
गीता दाहाल
लिला मगर
राधा
बिना अधिकारी
सन्तोषी देवकोटा
मिना पोखरेल
सुमित्रा गुरुङ
रूपा अर्याल
रूपा बज्राचार्य
रूपा दाहाल
लिला तिमिल्सिना
सुशिला पोखरेल
लक्ष्मी सापकोटा
मिना तिमिल्सिना
राधा थापा
पुजा रिजाल
बिमला भण्डारी
स्नेहा न्युपाने
रूपा तामाङ
सञ्जिता धमला
रूपा सुबेदी
सुशिला राय
प्रतीमा बस्नेत
कुसुम खटिवाडा
रोशनी तिमिल्सिना
प्रतिवा श्रेष्ठ
मनीषा थापा
सन्तोषी बस्नेत
आशा अर्याल
सुनिता अर्याल
रन्जु छेत्री
राधा पौड्याल
माया खतरी
स्नेहा पन्ता
सिता सुबेदी
पुजा प्रधान
राधा धमला
रिता खटिवाडा
आशा छेत्री
गौरी पन्ता
रेखा पौडेल
रिता तामाङ
सञ्जिता धमला
सन्तोषी सुबेदी
बिना बिस्टा
पुजा राय
पुजा सापकोटा
शोभा बज्राचार्य
सरिता दाहाल
कुसुम आचार्य
सुशिला शर्मा
सुश्मिता अधिकारी
लक्ष्मी खटिवाडा
माया कार्की
रन्जु थापा
प्रतीमा गुरुङ
स्नेहा राय
लक्ष्मी तामाङ
कुसुम तिमिल्सिना
मनीषा पौड्याल
आशा बिस्टा
मिना अधिकारी
रोशनी घिमिरे
अनिता भुसाल
राधा आचार्य
सुशिला खतरी
माया श्रेष्ठ
सरिता बस्नेत
सरिता देवकोटा
सञ्जिता न्युपाने
आशा भुसाल
निर्मला 
कुसुम खतरी
कविता श्रेष्ठ
सिता तिमिल्सिना
सञ्जिता बिस्टा
रेखा रिग्मी
बिमला खतरी
बिमला पौड्याल
मनीषा बज्राचार्य
सुमित्रा धमला
रिता छेत्री
आशा घिमिरे
बिमला घिमिरे
स्नेहा बस्नेत
बिमला भट्टराई
कुसुम पोखरेल
बिना सापकोटा
दीपिका पन्ता
प्रभा प्रधान
प्रतीमा कार्की
बिमला रिग्मी
निर्मला तामाङ
प्रतीमा रिग्मी
मिना बज्राचार्य
सुश्मिता खटिवाडा
स्नेहा कार्की
पुजा धमला
पुजा पौड्याल
प्रतीमा तिमिल्सिना
सन्तोषी अधिकारी
सविना न्युपाने
रोशनी गुरुङ
दीपिका रिजाल
सविना देवकोटा
सिता भुसाल
सुशिला आचार्य
बिमला थापा
रेखा सुबेदी
शोभा 
सिता दाहाल
लक्ष्मी बस्नेत
रन्जु रिग्मी
सुशिला भुसाल
अनिता राय
लिला भट्टराई
सञ्जिता बज्राचार्य
निर्मला श्रेष्ठ
सुशिला बिस्टा
प्रभा रिजाल
अनिता आचार्य
सुशिला रिग्मी
सरिता बज्राचार्य
सिता बस्नेत
बिना प्रधान
पुजा घिमिरे
मिना पाण्डे
सञ्जिता शर्मा
रेखा राय
प्रतिवा थापा
नाम्रता न्युपाने
निशा धमला
गौरी खटिवाडा
गौरी बज्राचार्य
राधा प्रधान
लक्ष्मी बज्राचार्य
निशा गुरुङ
आशा आचार्य
लक्ष्मी गुरुङ
निशा बस्नेत
निर्मला मगर
प्रतिवा अर्याल
स्नेहा बज्राचार्य
कुसुम राय
रोशनी दाहाल
अस्मिता आचार्य
कल्पना भट्टराई
रूपा बस्नेत
राधा भण्डारी
रोशनी केसी
सुश्मिता
सुश्मिता रिग्मी
सिता गुरुङ
सन्तोषी अर्याल
प्रतीमा भुसाल
रोशनी तामाङ
रिता पौडेल
कविता पौड्याल
कल्पना देवकोटा
सरिता गुरुङ
सरिता शर्मा
स्नेहा मगर
शोभा पौड्याल
सुनिता भट्टराई
नाम्रता बज्राचार्य
गीता पोखरेल
अस्मिता बज्राचार्य
प्रतिवा प्रधान
कविता सुबेदी
सन्तोषी भट्टराई
अनिता केसी
अस्मिता देवकोटा
सञ्जिता 
पुजा कार्की
रोशनी पौडेल
कुसुम बस्नेत
कविता बस्नेत
रन्जु तिमिल्सिना
गौरी पौडेल
गौरी भट्टराई
सुनिता न्युपाने
गीता खटिवाडा
लक्ष्मी छेत्री
मनीषा बस्नेत
राधा सापकोटा
आशा पोखरेल
दीपिका बिस्टा
सरिता तामाङ
सन्तोषी सापकोटा
प्रभा अधिकारी
कल्पना बिस्टा
लक्ष्मी पौड्याल
शोभा अर्याल
पुजा मगर
कोमल गुरुङ
सुनिता बस्नेत
रूपा मगर
रेखा खतरी
कोमल कार्की
कल्पना रिग्मी
स्नेहा पाण्डे
रोशनी पौड्याल
प्रभा श्रेष्ठ
रन्जु अर्याल
सञ्जिता देवकोटा
कुसुम प्रधान
रिता रिग्मी
लिला गुरुङ
सुमित्रा रिजाल
सविना कार्की
कोमल केसी
सन्तोषी भुसाल
लिला भण्डारी
मनीषा भट्टराई
प्रतीमा खतरी
शोभा सुबेदी
निशा खतरी
अनिता प्रधान
अनिता देवकोटा
शोभा भट्टराई
कल्पना राय
सविना दाहाल
स्नेहा खटिवाडा
सरिता पौड्याल
सविना पौड्याल
सुशिला पन्ता
लिला बज्राचार्य
कोमल पाण्डे
आशा दाहाल
रन्जु खटिवाडा
सुनिता थापा
मिना पन्ता
दीपिका देवकोटा
प्रभा बज्राचार्य
लिला धमला
गौरी पोखरेल
सिता
स्नेहा अधिकारी
सुशिला तिमिल्सिना
कल्पना
किरण भण्डारी
मनिष केसी
रमेश खत्री
अनिल पाण्डे
प्रवीण गुरुङ
नरेंद्र केसी
सुमन तामांग
शिवा राय
सन्तोष रेम्जी
प्रवीण भण्डारी
नरेन अधिकारी
दिनेश देवकोटा
सरोज भट्टराई
सुरेन भुसाल
रबिन खतिवडा
नरेंद्र मगर
प्रदीप भण्डारी
शिवा गुरुङ
हरि देवकोटा
श्याम थापा
राजन रेम्जी
प्रवीण आचार्य
किरण पौड्याल
सुरेश न्योपाने
प्रशान्त पोखरेल
विजय ज्ञवाली
दिनेश बज्राचार्य
सुरेश केसी
हरि श्रेष्ठ
प्रदीप शर्मा
गणेश आचार्य
गणेश पौड्याल
सुमन थापा
सरोज गुरुङ
नरेंद्र ज्ञवाली
मिलन पन्ता
शिवा बज्राचार्य
सुनील भुसाल
सन्तोष देवकोटा
कृष्ण कार्की
सन्दीप भण्डारी
राम राय
प्रदीप थापा
जितेन्द्र केसी
विकास अर्याल
राजन भट्टराई
रमेश सुबेदी
सुरेन पाण्डे
किरण भुसाल
प्रशान्त ज्ञवाली
दीपक केसी
बिमल प्रधान
बिश्नु अर्याल
राजन गुरुङ
श्याम बिष्टा
दिपेश राय
मनिष पाण्डे
कृष्ण शर्मा
किरण रेम्जी
सुरेन खत्री
रबिन भुसाल
बिश्नु रिजाल
अर्जुन भुसाल
हरि घिमिरे
दिपेश रेम्जी
जितेन्द्र शर्मा
विजय पौड्याल
दिनेश कार्की
सुनील गुरुङ
निरज तामांग
हरि अधिकारी
प्रशान्त भट्टराई
जितेन्द्र पौड्याल
राजन धमला
सन्तोष थापा
सरोज राय
राम तिमल्सिना
रोशन अर्याल
रमेश पन्ता
बिश्नु भुसाल
सन्तोष ज्ञवाली
हरि तिमल्सिना
मिलन खत्री
सुनील बिष्टा
राम छेत्री
रोशन बिष्टा
पवन आचार्य
जितेन्द्र कार्की
मिलन पौडेल
राम गुरुङ
सन्तोष तिमल्सिना
सुमन पोखरेल
पवन बज्राचार्य
मनिष बस्नेत
सुमन सुबेदी
प्रदीप प्रधान
रबिन सापकोटा
